country code,asciiname,feature class,population,elevation
CH,Lohn,P,54,
CH,Lodrino,P,1526,
CH,Lodano,P,239,
CH,Locarno,P,14509,
CH,Littau,P,16121,
CH,Linthal,P,1080,662.0
CH,Linden,P,1315,
CH,Lindau,P,710,525.0
CH,Ligornetto,P,1524,
CH,Lignieres,P,982,
CH,Ligerz,P,525,
CH,Liestal,P,12832,
CH,Liesberg,P,1210,
CH,Lieli,P,203,
CH,Liebistorf,P,658,
CH,Liddes,P,728,
CH,Lichtensteig,P,1945,
CH,Leytron,P,2194,
CH,Leysin,P,3066,
CH,Le Vaud,P,1104,
CH,Leuzigen,P,1167,
CH,Leutwil,P,747,
CH,Leukerbad,P,1427,
CH,Leuk,P,3386,
CH,Leuggelbach,P,164,
CH,Les Verrieres,P,736,
CH,Les Thioleyres,P,190,
CH,Lessoc,P,199,
CH,Les Ponts-de-Martel,P,1278,
CH,Les Pommerats,P,229,
CH,Les Genevez,P,496,
